n_subjects,noise_scaling,p_favour_mel,p_unclear,p_favour_phot,n_sims,n_valid,n_failed,prop_failed
22,3,1,0,0,20,18,2,0.1
22,4,0.9,0.1,0,20,10,10,0.5
22,5,1,0,0,20,7,13,0.65
22,6,0.875,0.125,0,20,8,12,0.6
22,7,0.6363636363636364,0.18181818181818182,0.18181818181818182,20,11,9,0.45
22,8,0.5714285714285714,0.42857142857142855,0,20,7,13,0.65
22,9,0.5,0.5,0,20,10,10,0.5
22,10,0.14285714285714285,0.8571428571428571,0,20,14,6,0.3
23,1,1,0,0,20,20,0,0
23,2,1,0,0,20,20,0,0
23,3,1,0,0,20,17,3,0.15
23,4,1,0,0,20,11,9,0.45
23,5,0.9,0.1,0,20,10,10,0.5
23,6,0.6,0.4,0,20,5,15,0.75
23,7,0.75,0.25,0,20,8,12,0.6
23,8,0.6428571428571429,0.35714285714285715,0,20,14,6,0.3
23,9,0.5384615384615384,0.46153846153846156,0,20,13,7,0.35
23,10,0.2222222222222222,0.6666666666666666,0.1111111111111111,20,9,11,0.55
24,1,1,0,0,20,20,0,0
24,2,1,0,0,20,20,0,0
24,3,1,0,0,20,18,2,0.1
24,4,1,0,0,20,14,6,0.3
24,5,1,0,0,20,12,8,0.4
24,6,0.9,0,0.1,20,10,10,0.5
24,7,0.2222222222222222,0.5555555555555556,0.2222222222222222,20,9,11,0.55
24,8,0.4166666666666667,0.4166666666666667,0.16666666666666666,20,12,8,0.4
24,9,0.3333333333333333,0.6666666666666666,0,20,9,11,0.55
24,10,0.14285714285714285,0.8571428571428571,0,20,14,6,0.3
25,1,1,0,0,20,20,0,0
25,2,1,0,0,20,20,0,0
25,3,1,0,0,20,16,4,0.2
25,4,1,0,0,20,16,4,0.2
25,5,1,0,0,20,8,12,0.6
25,6,0.2857142857142857,0.5714285714285714,0.14285714285714285,20,7,13,0.65
25,7,0.8461538461538461,0.15384615384615385,0,20,13,7,0.35
25,8,0.5,0.42857142857142855,0.07142857142857142,20,14,6,0.3
25,9,0.2857142857142857,0.5714285714285714,0.14285714285714285,20,7,13,0.65
25,10,0.15384615384615385,0.7692307692307693,0.07692307692307693,20,13,7,0.35
26,1,1,0,0,20,20,0,0
26,2,1,0,0,20,20,0,0
26,3,1,0,0,20,17,3,0.15
26,4,1,0,0,20,14,6,0.3
26,5,0.6666666666666666,0.3333333333333333,0,20,6,14,0.7
26,6,1,0,0,20,7,13,0.65
26,7,0.6666666666666666,0.1111111111111111,0.2222222222222222,20,9,11,0.55
26,8,0.6666666666666666,0.3333333333333333,0,20,15,5,0.25
26,9,0.2,0.8,0,20,10,10,0.5
26,10,0.16666666666666666,0.75,0.08333333333333333,20,12,8,0.4
27,1,1,0,0,20,20,0,0
27,2,1,0,0,20,20,0,0
27,3,1,0,0,20,19,1,0.05
27,4,1,0,0,20,13,7,0.35
27,5,0.8571428571428571,0.14285714285714285,0,20,7,13,0.65
27,6,0.6666666666666666,0.3333333333333333,0,20,6,14,0.7
27,7,0.6666666666666666,0.25,0.08333333333333333,20,12,8,0.4
27,8,0.125,0.875,0,20,8,12,0.6
27,9,0.2727272727272727,0.7272727272727273,0,20,11,9,0.45
27,10,0.5,0.5,0,20,10,10,0.5
28,1,1,0,0,20,20,0,0
28,2,1,0,0,20,20,0,0
28,3,1,0,0,20,20,0,0
28,4,1,0,0,20,11,9,0.45
28,5,1,0,0,20,11,9,0.45
28,6,0.75,0.25,0,20,8,12,0.6
28,7,0.7692307692307693,0.15384615384615385,0.07692307692307693,20,13,7,0.35
28,8,0.625,0.375,0,20,8,12,0.6
28,9,0.6,0.4,0,20,10,10,0.5
28,10,0.18181818181818182,0.8181818181818182,0,20,11,9,0.45
29,1,1,0,0,20,20,0,0
29,2,1,0,0,20,20,0,0
29,3,1,0,0,20,19,1,0.05
29,4,1,0,0,20,13,7,0.35
29,5,0.875,0.125,0,20,8,12,0.6
29,6,0.8571428571428571,0,0.14285714285714285,20,7,13,0.65
29,7,0.75,0.25,0,20,8,12,0.6
29,8,0.5384615384615384,0.3076923076923077,0.15384615384615385,20,13,7,0.35
29,9,0.3333333333333333,0.6666666666666666,0,20,9,11,0.55
29,10,0.07692307692307693,0.7692307692307693,0.15384615384615385,20,13,7,0.35
30,1,1,0,0,20,20,0,0
30,2,1,0,0,20,20,0,0
30,3,1,0,0,20,17,3,0.15
