driver,n_subjects,noise_scaling,response,model_name,prop_converged,prop_singular,n_fits
mel,16,4,simulated_log10,rho,1,0,1000
mel,16,6,simulated_log10,mel,1,0.003,1000
mel,16,6,simulated_log10,phot,1,0.029,1000
mel,16,6,simulated_log10,rho,1,0.006,1000
mel,16,8,simulated_log10,mel,1,0.038,1000
mel,16,8,simulated_log10,phot,1,0.111,1000
mel,16,8,simulated_log10,rho,1,0.043,1000
mel,16,10,simulated_log10,mel,1,0.106,1000
mel,16,10,simulated_log10,phot,1,0.211,1000
mel,16,10,simulated_log10,rho,1,0.11,1000
mel,17,0.5,simulated_log10,mel,1,0,1000
mel,17,0.5,simulated_log10,phot,1,0,1000
mel,17,0.5,simulated_log10,rho,1,0,1000
mel,17,1,simulated_log10,mel,1,0,1000
mel,17,1,simulated_log10,phot,1,0,1000
mel,17,1,simulated_log10,rho,1,0,1000
mel,17,2,simulated_log10,mel,1,0,1000
mel,17,2,simulated_log10,phot,1,0,1000
mel,17,2,simulated_log10,rho,1,0,1000
mel,17,4,simulated_log10,mel,1,0,1000
mel,17,4,simulated_log10,phot,1,0.002,1000
mel,17,4,simulated_log10,rho,1,0,1000
mel,17,6,simulated_log10,mel,1,0.001,1000
mel,17,6,simulated_log10,phot,1,0.02,1000
mel,17,6,simulated_log10,rho,1,0.002,1000
mel,17,8,simulated_log10,mel,1,0.034,1000
mel,17,8,simulated_log10,phot,1,0.101,1000
mel,17,8,simulated_log10,rho,1,0.038,1000
mel,17,10,simulated_log10,mel,1,0.093,1000
mel,17,10,simulated_log10,phot,1,0.197,1000
mel,17,10,simulated_log10,rho,1,0.102,1000
mel,18,0.5,simulated_log10,mel,1,0,1000
mel,18,0.5,simulated_log10,phot,1,0,1000
mel,18,0.5,simulated_log10,rho,1,0,1000
mel,18,1,simulated_log10,mel,1,0,1000
mel,18,1,simulated_log10,phot,1,0,1000
mel,18,1,simulated_log10,rho,1,0,1000
mel,18,2,simulated_log10,mel,1,0,1000
mel,18,2,simulated_log10,phot,1,0,1000
mel,18,2,simulated_log10,rho,1,0,1000
mel,18,4,simulated_log10,mel,1,0,1000
mel,18,4,simulated_log10,phot,1,0.001,1000
mel,18,4,simulated_log10,rho,1,0,1000
mel,18,6,simulated_log10,mel,1,0.002,1000
mel,18,6,simulated_log10,phot,1,0.025,1000
mel,18,6,simulated_log10,rho,1,0.002,1000
mel,18,8,simulated_log10,mel,1,0.026,1000
mel,18,8,simulated_log10,phot,1,0.094,1000
mel,18,8,simulated_log10,rho,1,0.026,1000
mel,18,10,simulated_log10,mel,1,0.081,1000
mel,18,10,simulated_log10,phot,1,0.17,1000
mel,18,10,simulated_log10,rho,1,0.08,1000
mel,19,0.5,simulated_log10,mel,1,0,1000
mel,19,0.5,simulated_log10,phot,1,0,1000
mel,19,0.5,simulated_log10,rho,1,0,1000
mel,19,1,simulated_log10,mel,1,0,1000
mel,19,1,simulated_log10,phot,1,0,1000
mel,19,1,simulated_log10,rho,1,0,1000
mel,19,2,simulated_log10,mel,1,0,1000
mel,19,2,simulated_log10,phot,1,0,1000
mel,19,2,simulated_log10,rho,1,0,1000
mel,19,4,simulated_log10,mel,1,0,1000
mel,19,4,simulated_log10,phot,1,0,1000
mel,19,4,simulated_log10,rho,1,0,1000
mel,19,6,simulated_log10,mel,1,0.001,1000
mel,19,6,simulated_log10,phot,1,0.019,1000
mel,19,6,simulated_log10,rho,1,0.003,1000
mel,19,8,simulated_log10,mel,1,0.018,1000
mel,19,8,simulated_log10,phot,1,0.078,1000
mel,19,8,simulated_log10,rho,1,0.018,1000
mel,19,10,simulated_log10,mel,1,0.069,1000
mel,19,10,simulated_log10,phot,1,0.161,1000
mel,19,10,simulated_log10,rho,1,0.074,1000
mel,20,0.5,simulated_log10,mel,1,0,1000
mel,20,0.5,simulated_log10,phot,1,0,1000
mel,20,0.5,simulated_log10,rho,1,0,1000
mel,20,1,simulated_log10,mel,1,0,1000
mel,20,1,simulated_log10,phot,1,0,1000
mel,20,1,simulated_log10,rho,1,0,1000
mel,20,2,simulated_log10,mel,1,0,1000
