driver,noise_scaling,n_subjects,evidence,n,prop
mel,4,16,Favours phot model,0,0
mel,4,16,Favours rho model,46,0.046
mel,4,16,No clear preference,149,0.149
mel,4,17,Favours mel model,788,0.788
mel,4,17,Favours phot model,0,0
mel,4,17,Favours rho model,60,0.06
mel,4,17,No clear preference,152,0.152
mel,4,18,Favours mel model,807,0.807
mel,4,18,Favours phot model,0,0
mel,4,18,Favours rho model,44,0.044
mel,4,18,No clear preference,149,0.149
mel,4,19,Favours mel model,837,0.837
mel,4,19,Favours phot model,0,0
mel,4,19,Favours rho model,38,0.038
mel,4,19,No clear preference,125,0.125
mel,4,20,Favours mel model,828,0.828
mel,4,20,Favours phot model,0,0
mel,4,20,Favours rho model,50,0.05
mel,4,20,No clear preference,122,0.122
mel,4,21,Favours mel model,861,0.861
mel,4,21,Favours phot model,0,0
mel,4,21,Favours rho model,39,0.039
mel,4,21,No clear preference,100,0.1
mel,4,22,Favours mel model,839,0.839
mel,4,22,Favours phot model,0,0
mel,4,22,Favours rho model,41,0.041
mel,4,22,No clear preference,120,0.12
mel,4,23,Favours mel model,863,0.863
mel,4,23,Favours phot model,0,0
mel,4,23,Favours rho model,37,0.037
mel,4,23,No clear preference,100,0.1
mel,4,24,Favours mel model,884,0.884
mel,4,24,Favours phot model,0,0
mel,4,24,Favours rho model,34,0.034
mel,4,24,No clear preference,82,0.082
mel,4,25,Favours mel model,889,0.889
mel,4,25,Favours phot model,0,0
mel,4,25,Favours rho model,34,0.034
mel,4,25,No clear preference,77,0.077
mel,4,26,Favours mel model,909,0.909
mel,4,26,Favours phot model,0,0
mel,4,26,Favours rho model,26,0.026
mel,4,26,No clear preference,65,0.065
mel,4,27,Favours mel model,908,0.908
mel,4,27,Favours phot model,0,0
mel,4,27,Favours rho model,34,0.034
mel,4,27,No clear preference,58,0.058
mel,4,28,Favours mel model,912,0.912
mel,4,28,Favours phot model,0,0
mel,4,28,Favours rho model,26,0.026
mel,4,28,No clear preference,62,0.062
mel,4,29,Favours mel model,903,0.903
mel,4,29,Favours phot model,0,0
mel,4,29,Favours rho model,24,0.024
mel,4,29,No clear preference,73,0.073
mel,4,30,Favours mel model,916,0.916
mel,4,30,Favours phot model,0,0
mel,4,30,Favours rho model,29,0.029
mel,4,30,No clear preference,55,0.055
mel,4,31,Favours mel model,918,0.918
mel,4,31,Favours phot model,0,0
mel,4,31,Favours rho model,23,0.023
mel,4,31,No clear preference,59,0.059
mel,4,32,Favours mel model,915,0.915
mel,4,32,Favours phot model,0,0
